,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marca temporal,11/11/2021 13:12:00,18/11/2021 19:57:06,18/11/2021 19:58:56,18/11/2021 19:59:28,18/11/2021 20:00:32,18/11/2021 20:03:02,18/11/2021 20:05:11,18/11/2021 20:08:39,18/11/2021 20:08:54,18/11/2021 20:09:27,18/11/2021 20:09:45,18/11/2021 20:13:53,18/11/2021 20:13:54,18/11/2021 20:14:21,18/11/2021 20:16:04,18/11/2021 20:17:50,18/11/2021 20:19:22,18/11/2021 20:20:02,18/11/2021 20:29:19,18/11/2021 20:36:54,18/11/2021 20:38:07,18/11/2021 20:38:46,18/11/2021 20:47:20,18/11/2021 21:21:37,18/11/2021 21:25:21,18/11/2021 21:25:57,18/11/2021 21:33:23,18/11/2021 21:44:21,18/11/2021 21:46:33,18/11/2021 22:08:59,18/11/2021 22:34:51,18/11/2021 22:47:45,18/11/2021 22:54:41,18/11/2021 22:58:01,18/11/2021 22:59:48,18/11/2021 23:21:02,18/11/2021 23:21:19,18/11/2021 23:22:25,18/11/2021 23:23:26,18/11/2021 23:26:22,18/11/2021 23:34:25,18/11/2021 23:41:21,19/11/2021 0:34:16,19/11/2021 7:14:55,19/11/2021 8:48:23,19/11/2021 8:52:08,19/11/2021 10:03:46,19/11/2021 10:10:15,19/11/2021 10:26:11,19/11/2021 10:58:20,19/11/2021 11:26:47,19/11/2021 11:31:18,19/11/2021 12:00:04,19/11/2021 12:05:32,19/11/2021 12:08:45,19/11/2021 12:11:06,19/11/2021 12:11:17,19/11/2021 12:20:48,19/11/2021 12:20:56,19/11/2021 12:31:58,19/11/2021 12:32:47,19/11/2021 12:35:45,19/11/2021 12:40:06,19/11/2021 12:42:27,19/11/2021 12:53:34,19/11/2021 13:19:56,19/11/2021 13:24:46,19/11/2021 14:18:16,19/11/2021 14:19:42,19/11/2021 14:36:07,19/11/2021 14:41:28,19/11/2021 14:44:27,19/11/2021 15:47:26,19/11/2021 16:45:52,20/11/2021 1:19:38,20/11/2021 12:29:33,22/11/2021 10:15:19,22/11/2021 13:40:48,22/11/2021 14:27:59,22/11/2021 14:59:37,22/11/2021 16:02:20,22/11/2021 20:11:16,23/11/2021 9:21:50,23/11/2021 9:42:26,23/11/2021 9:47:53,23/11/2021 9:48:26,23/11/2021 9:48:39,23/11/2021 10:14:28,23/11/2021 10:19:50,23/11/2021 10:24:21,23/11/2021 10:35:33,23/11/2021 10:41:56,23/11/2021 10:47:09,23/11/2021 11:04:35,23/11/2021 12:34:02
¿Qué edad tienes?,21-24,21-24,21-24,25 +,17-20,17-20,21-24,25 +,25 +,17-20,25 +,25 +,17-20,17-20,21-24,17-20,21-24,25 +,21-24,21-24,21-24,25 +,21-24,21-24,21-24,21-24,25 +,17-20,21-24,21-24,21-24,17-20,21-24,17-20,21-24,21-24,21-24,21-24,17-20,17-20,21-24,17-20,21-24,21-24,17-20,21-24,21-24,21-24,21-24,25 +,17-20,21-24,21-24,21-24,21-24,21-24,21-24,21-24,21-24,21-24,17-20,25 +,21-24,21-24,21-24,17-20,25 +,25 +,17-20,21-24,21-24,21-24,21-24,25 +,21-24,17-20,21-24,21-24,21-24,21-24,21-24,25 +,21-24,21-24,21-24,21-24,21-24,17-20,17-20,17-20,17-20,21-24,21-24,21-24,21-24
¿Con que género te identificas?,Masculino,Femenino,Femenino,Femenino,Femenino,Femenino,Femenino,Masculino,Femenino,Otro,Femenino,Masculino,Femenino,Masculino,Masculino,Masculino,Masculino,Femenino,Masculino,Femenino,Masculino,Masculino,Masculino,Femenino,Masculino,Masculino,Masculino,Masculino,Femenino,Masculino,Masculino,Femenino,Femenino,Femenino,Femenino,Femenino,Femenino,Masculino,Femenino,Femenino,Femenino,Femenino,Masculino,Femenino,Femenino,Femenino,Femenino,Femenino,Masculino,Masculino,Masculino,Masculino,Masculino,Masculino,Femenino,Femenino,Masculino,Masculino,Masculino,Masculino,Femenino,Femenino,Masculino,Femenino,Femenino,Femenino,Femenino,Masculino,Masculino,Femenino,Femenino,Femenino,Masculino,Masculino,Masculino,Femenino,Masculino,Femenino,Masculino,Masculino,Femenino,Femenino,Femenino,Femenino,Femenino,Femenino,Femenino,Masculino,Masculino,Femenino,Masculino,Masculino,Femenino,Femenino,Masculino
¿A qué rama pertenece la licenciatura que actualmente estudias?,Ciencias Sociales,Ingeniería,Ciencia,Ciencia,Ciencia,Ciencia,Ingeniería,Ciencia,Ciencia,Otro,Ciencias Sociales,Otro,Ciencia,Otro,Ingeniería,Otro,Ciencias Sociales,Ciencias Sociales,Ciencia,Ciencias Sociales,Ciencia,Ciencia,Ciencia,Ciencia,Ingeniería,Ingeniería,Otro,Ciencia,Otro,Ciencia,Ciencia,Ciencias Sociales,Ciencias Sociales,Ciencia,Ciencias Sociales,Humanidades,Ciencias Sociales,Ingeniería,Ciencias Sociales,Ciencias Sociales,Ciencia,Ciencia,Ciencia,Ciencias Sociales,Ciencias Sociales,Otro,Otro,Ciencias Sociales,Ingeniería,Ciencias Sociales,Ciencia,Ciencia,Ingeniería,Ciencia,Ciencia,Ciencias Sociales,Ciencia,Ingeniería,Ciencia,Ingeniería,Ingeniería,Ingeniería,Ingeniería,Ingeniería,Otro,Ingeniería,Ingeniería,Ingeniería,Ciencia,Otro,Ingeniería,Ingeniería,Ingeniería,Ciencias Sociales,Otro,Ciencia,Ciencia,Otro,Ciencias Sociales,Ingeniería,Ingeniería,Ciencia,Ciencia,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Otro,Ingeniería,Otro,Ciencias Sociales,Otro,Otro,Otro,Ciencias Sociales
¿Qué tan importante es la educación de ciberseguridad para ti?,Importante,Muy importante,Importante,Importante,Importante,Importante,Muy importante,Poco importante,Importante,Importante,Importante,Muy importante,Poco importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Muy importante,Importante,Muy importante,Poco importante,Importante,Importante,Importante,Importante,Poco importante,Importante,Importante,Muy importante,Muy importante,Importante,Importante,Importante,Importante,Muy importante,Importante,Muy importante,Importante,Importante,Importante,Muy importante,Muy importante,Importante,Muy importante,Importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Importante,Importante,Importante,Importante,Muy importante,Importante,Importante,Importante,Muy importante,Importante,Importante,Poco importante,Importante,Muy importante,Importante,Importante,Importante,Muy importante,Importante,Importante,Importante,Importante,Poco importante,Muy importante,Muy importante,Importante,Importante,Muy importante,Importante,Muy importante,Muy importante,Muy importante,Poco importante,Poco importante,Muy importante,Importante,Importante,Muy importante,Importante,Muy importante,Muy importante
¿Cuál crees que es la cuestión más importante en temas de educación de ciberseguridad?,Proteger información personal en linea,Prevenir accesos de tus cuentas sin permiso,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,"Evitar ciber acoso, ciber bullying, entre otros",Proteger información personal en linea,Prevenir accesos de tus cuentas sin permiso,"Evitar ciber acoso, ciber bullying, entre otros",Proteger información personal en linea,Proteger información personal en linea,"Evitar ciber acoso, ciber bullying, entre otros",Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,"Evitar ciber acoso, ciber bullying, entre otros",Prevenir accesos de tus cuentas sin permiso,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,"Evitar ciber acoso, ciber bullying, entre otros",Proteger información personal en linea,Prevenir accesos de tus cuentas sin permiso,Proteger información personal en linea,Proteger información personal en linea,Prevenir accesos de tus cuentas sin permiso,"Evitar ciber acoso, ciber bullying, entre otros",Proteger información personal en linea,Proteger información personal en linea,Prevenir accesos de tus cuentas sin permiso,Prevenir accesos de tus cuentas sin permiso,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Prevenir accesos de tus cuentas sin permiso,Proteger información personal en linea,"Evitar ciber acoso, ciber bullying, entre otros",Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,"Evitar ciber acoso, ciber bullying, entre otros",Proteger información personal en linea,Proteger información personal en linea,Prevenir accesos de tus cuentas sin permiso,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,"Evitar ciber acoso, ciber bullying, entre otros",Proteger información personal en linea,Proteger información personal en linea,Prevenir accesos de tus cuentas sin permiso,Prevenir accesos de tus cuentas sin permiso,Prevenir accesos de tus cuentas sin permiso,Proteger información personal en linea,"Evitar ciber acoso, ciber bullying, entre otros",Proteger información personal en linea,Proteger información personal en linea,"Evitar ciber acoso, ciber bullying, entre otros",Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,"Evitar ciber acoso, ciber bullying, entre otros",Proteger información personal en linea,Prevenir accesos de tus cuentas sin permiso,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Prevenir accesos de tus cuentas sin permiso,Prevenir accesos de tus cuentas sin permiso,Proteger información personal en linea,Prevenir accesos de tus cuentas sin permiso,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea,Proteger información personal en linea
¿Para qué usas el internet?,Streaming,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Plataformas educativas,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Otro,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales,Redes Sociales
,,,Streaming,Streaming,Streaming,Streaming,Streaming,Otro,,Plataformas educativas,Streaming,,Plataformas educativas,Streaming,Plataformas educativas,Streaming,Streaming,Streaming,Videojuegos,Streaming,,,Plataformas educativas,Streaming,,Streaming,Videojuegos,Videojuegos,,Plataformas educativas,,Streaming,Streaming,,Streaming,Otro,Plataformas educativas,Streaming,Streaming,Plataformas educativas,Streaming,Streaming,Videojuegos,Streaming,Streaming,,Streaming,Streaming,Streaming,Streaming,Streaming,Streaming,Streaming,Videojuegos,Streaming,Plataformas educativas,Plataformas educativas,Streaming,Streaming,Streaming,Plataformas educativas,Plataformas educativas,Videojuegos,Streaming,Streaming,Plataformas educativas,Streaming,Streaming,Streaming,Plataformas educativas,Plataformas educativas,Plataformas educativas,Plataformas educativas,Plataformas educativas,Streaming,Videojuegos,,,Streaming,Videojuegos,Streaming,,Streaming,Otro,Streaming,Streaming,Plataformas educativas,Videojuegos,Streaming,Plataformas educativas,Streaming,Streaming,Streaming,Streaming,Streaming
,,,Plataformas educativas,,Videojuegos,Plataformas educativas,Videojuegos,,,,,,,Videojuegos,Otro,Plataformas educativas,Videojuegos,Otro,Plataformas educativas,Plataformas educativas,,,Otro,Plataformas educativas,,Videojuegos,Plataformas educativas,,,Otro,,Plataformas educativas,Plataformas educativas,,Plataformas educativas,,,Videojuegos,Plataformas educativas,,,Plataformas educativas,Plataformas educativas,Plataformas educativas,Plataformas educativas,,Plataformas educativas,Plataformas educativas,Videojuegos,Plataformas educativas,Videojuegos,Videojuegos,Videojuegos,Plataformas educativas,Plataformas educativas,,,Videojuegos,Videojuegos,Plataformas educativas,Otro,,Plataformas educativas,Plataformas educativas,Plataformas educativas,,Videojuegos,Plataformas educativas,Plataformas educativas,Otro,Otro,,Otro,,Plataformas educativas,Plataformas educativas,,,Videojuegos,Plataformas educativas,,,Plataformas educativas,,Otro,Videojuegos,,Plataformas educativas,Videojuegos,,Plataformas educativas,Plataformas educativas,Plataformas educativas,Videojuegos,Plataformas educativas
,,,Otro,,Plataformas educativas,,Otro,,,,,,,Plataformas educativas,,,Plataformas educativas,,,,,,,Otro,,Plataformas educativas,,,,,,Otro,,,,,,Plataformas educativas,,,,,,,,,Otro,,Otro,,Plataformas educativas,,Plataformas educativas,Otro,,,,Plataformas educativas,Plataformas educativas,,,,,Otro,,,Plataformas educativas,,,,,,,,,,,,,,,,,,,Plataformas educativas,,,Plataformas educativas,,Otro,Otro,Otro,Plataformas educativas,Otro
,,,,,,,,,,,,,,Otro,,,Otro,,,,,,,,,Otro,,,,,,,,,,,,Otro,,,,,,,,,,,,,Otro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selecciona las redes sociales que utilizas en tu día a día,Instagram,Facebook,Facebook,Facebook,Instagram,Facebook,Instagram,Facebook,Instagram,Facebook,Facebook,Instagram,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Twitter,Facebook,Instagram,Facebook,Instagram,Facebook,Facebook,Facebook,Facebook,Instagram,Instagram,Facebook,Facebook,Facebook,Instagram,Instagram,Facebook,Instagram,Instagram,Facebook,Facebook,Facebook,Facebook,Instagram,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Twitter,Instagram,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Instagram,Facebook,Facebook,Instagram,Facebook,Facebook,Facebook,Facebook,Instagram,Facebook,Facebook,Instagram,Facebook,Instagram,Facebook,Instagram,Facebook,Facebook,Instagram,Facebook,Instagram,Facebook,Instagram,Instagram,Instagram,Facebook,Facebook,Instagram,Facebook,Facebook,Facebook,Instagram,Facebook,Facebook,Facebook
,,Instagram,Instagram,Instagram,Twitter,Instagram,TikTok,Instagram,,TikTok,Instagram,Otro,Instagram,Otro,Instagram,Instagram,Instagram,Instagram,TikTok,Instagram,Twitter,Instagram,Otro,Instagram,Instagram,Instagram,Instagram,Twitter,,Instagram,Instagram,Instagram,Twitter,TikTok,Instagram,,,Instagram,Instagram,Instagram,Instagram,TikTok,Instagram,Instagram,Instagram,Instagram,Instagram,,Instagram,Instagram,,Twitter,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Instagram,Twitter,Instagram,Instagram,Twitter,Instagram,Instagram,Instagram,Instagram,Twitter,Instagram,Instagram,Twitter,Instagram,,Instagram,Twitter,Instagram,Instagram,Twitter,Instagram,TikTok,Instagram,TikTok,TikTok,,Instagram,Instagram,Twitter,Instagram,Instagram,Instagram,Twitter,Instagram,Instagram,Instagram
,,Twitter,Twitter,Twitter,,Twitter,Otro,,,,Twitter,,Twitter,,Otro,TikTok,Twitter,Twitter,,Twitter,,TikTok,,,TikTok,TikTok,TikTok,Otro,,,,Twitter,TikTok,Snapchat,Twitter,,,TikTok,Twitter,Twitter,Twitter,,,Twitter,Twitter,Twitter,Twitter,,Twitter,Twitter,,,Twitter,Twitter,Twitter,Twitter,Twitter,,Twitter,,TikTok,Twitter,,Otro,Twitter,TikTok,Twitter,,Snapchat,Twitter,TikTok,,Twitter,,Twitter,TikTok,Twitter,Twitter,,,Snapchat,Twitter,,Snapchat,,Twitter,Twitter,TikTok,Twitter,Snapchat,Twitter,TikTok,,Twitter,Twitter
,,,,TikTok,,TikTok,,,,,,,,,,,,,,TikTok,,,,,,,,,,,,TikTok,,,TikTok,,,,TikTok,TikTok,TikTok,,,TikTok,TikTok,,,,,,,,TikTok,,TikTok,TikTok,TikTok,,TikTok,,,TikTok,,,Otro,,,,,TikTok,Otro,,,,,,,,,,,,,,,,,,TikTok,,TikTok,,,TikTok,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snapchat,Otro,Otro,,,,,Otro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snapchat,,,Snapchat,
Selecciona las plataformas de streaming que utilizas en tu día a día,Claro Video,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Ninguna,Netflix,Netflix,Netflix,Netflix,Netflix,Otro,Netflix,Netflix,Netflix,Netflix,Ninguna,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Ninguna,Netflix,Netflix,Netflix,Netflix,Netflix,Ninguna,Netflix,Netflix,Netflix,Ninguna,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Otro,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix,Netflix
,,Amazon Prime,Amazon Prime,Amazon Prime,Amazon Prime,Blim,Amazon Prime,,Amazon Prime,,,,,,Otro,Amazon Prime,Amazon Prime,Amazon Prime,,Amazon Prime,Amazon Prime,HBO Max,HBO Max,Amazon Prime,Amazon Prime,Amazon Prime,Amazon Prime,,Amazon Prime,Amazon Prime,Amazon Prime,Amazon Prime,Amazon Prime,Ninguna,Amazon Prime,HBO Max,Amazon Prime,Amazon Prime,,Amazon Prime,,Amazon Prime,Amazon Prime,Amazon Prime,Amazon Prime,Amazon Prime,Amazon Prime,HBO Max,Amazon Prime,Amazon Prime,HBO Max,Amazon Prime,,Otro,Amazon Prime,HBO Max,Amazon Prime,Amazon Prime,,,,Amazon Prime,,Amazon Prime,Amazon Prime,Amazon Prime,Amazon Prime,HBO Max,Amazon Prime,Amazon Prime,Amazon Prime,Disney +,HBO Max,Amazon Prime,Amazon Prime,,Amazon Prime,Disney +,Amazon Prime,Disney +,Disney +,Amazon Prime,Amazon Prime,Disney +,,Amazon Prime,Amazon Prime,,Amazon Prime,Amazon Prime,Amazon Prime,Amazon Prime,Amazon Prime,Amazon Prime,Amazon Prime
,,Claro Video,Disney +,HBO Max,Disney +,,HBO Max,,HBO Max,,,,,,,HBO Max,HBO Max,HBO Max,,HBO Max,,,,HBO Max,,HBO Max,HBO Max,,,Claro Video,HBO Max,Blim,HBO Max,,HBO Max,Disney +,Disney +,Claro Video,,Claro Video,,HBO Max,HBO Max,Disney +,HBO Max,,Disney +,Disney +,HBO Max,,,HBO Max,,,Disney +,,Blim,Disney +,,,,Claro Video,,HBO Max,HBO Max,HBO Max,HBO Max,,,HBO Max,HBO Max,,,Disney +,,,HBO Max,,HBO Max,,Otro,HBO Max,HBO Max,,,,HBO Max,,Disney +,Disney +,HBO Max,HBO Max,Blim,Claro Video,HBO Max
,,HBO Max,,,,,Disney +,,,,,,,,,Disney +,Disney +,Otro,,Disney +,,,,Disney +,,Disney +,,,,Blim,Disney +,HBO Max,Disney +,,,,,,,HBO Max,,Disney +,Disney +,,Disney +,,,,Disney +,,,Otro,,,Otro,,HBO Max,,,,,HBO Max,,Disney +,Disney +,Disney +,Disney +,,,,Disney +,,,,,,Disney +,,Disney +,,,Disney +,Disney +,,,,Disney +,,Otro,,Disney +,,HBO Max,Blim,
,,,,,,,,,,,,,,,,,Otro,,,,,,,,,,,,,HBO Max,,,,,,,,,,Disney +,,,,,,,,,,,,,,,,,Disney +,,,,,,,Otro,,,,,,,,,,,,,,,,,,Otro,,,,,,,,,Otro,,Disney +,HBO Max,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disney +,,,,,,,,,,,,,,,,,,,,,,,,,,,Otro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disney +,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Otro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¿Cuántas horas en promedio pasas en plataformas de streaming al día? ,3-4 horas,Menos de 1 hora,Menos de 1 hora,1-2 horas,Más de 4 horas,1-2 horas,Más de 4 horas,Menos de 1 hora,1-2 horas,3-4 horas,3-4 horas,1-2 horas,1-2 horas,Más de 4 horas,Más de 4 horas,3-4 horas,1-2 horas,Menos de 1 hora,Menos de 1 hora,1-2 horas,1-2 horas,Menos de 1 hora,1-2 horas,Menos de 1 hora,Menos de 1 hora,1-2 horas,Más de 4 horas,1-2 horas,Menos de 1 hora,1-2 horas,Menos de 1 hora,3-4 horas,3-4 horas,Menos de 1 hora,1-2 horas,Menos de 1 hora,1-2 horas,3-4 horas,Menos de 1 hora,3-4 horas,Menos de 1 hora,3-4 horas,1-2 horas,Menos de 1 hora,1-2 horas,1-2 horas,3-4 horas,1-2 horas,1-2 horas,Menos de 1 hora,1-2 horas,1-2 horas,Menos de 1 hora,1-2 horas,1-2 horas,Más de 4 horas,1-2 horas,1-2 horas,Menos de 1 hora,Menos de 1 hora,Menos de 1 hora,3-4 horas,Menos de 1 hora,1-2 horas,Menos de 1 hora,1-2 horas,1-2 horas,1-2 horas,Menos de 1 hora,1-2 horas,3-4 horas,Menos de 1 hora,Menos de 1 hora,Menos de 1 hora,Menos de 1 hora,Menos de 1 hora,1-2 horas,Más de 4 horas,3-4 horas,1-2 horas,3-4 horas,1-2 horas,1-2 horas,1-2 horas,Menos de 1 hora,1-2 horas,3-4 horas,Menos de 1 hora,1-2 horas,1-2 horas,1-2 horas,1-2 horas,Menos de 1 hora,1-2 horas,Menos de 1 hora
Selecciona la plataforma de videojuegos que más utilizas,Xbox,Ninguna,Ninguna,Ninguna,Nintendo,Ninguna,Play Station,Ninguna,Play Station,Nintendo,Ninguna,Nintendo,Ninguna,PC,Ninguna,Xbox,Xbox,Ninguna,PC,PC,Xbox,Nintendo,Xbox,Ninguna,Ninguna,Xbox,Xbox,PC,Ninguna,Play Station,Ninguna,Ninguna,Xbox,Nintendo,Ninguna,Ninguna,Nintendo,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Play Station,Ninguna,Ninguna,Nintendo,PC,Ninguna,Xbox,Xbox,Xbox,Play Station,Play Station,Play Station,Nintendo,Ninguna,Ninguna,Play Station,Xbox,Nintendo,Ninguna,Xbox,PC,Ninguna,Ninguna,Ninguna,Nintendo,Xbox,Xbox,Xbox,Nintendo,Ninguna,Xbox,Ninguna,Ninguna,Nintendo,Xbox,Otro,Xbox,Nintendo,Ninguna,Nintendo,Nintendo,Ninguna,Nintendo,PC,Ninguna,PC,PC,Ninguna,Ninguna,Xbox,Nintendo,Play Station,Ninguna
