Marca temporal,¿Qué edad tienes?,¿Con que género te identificas?,¿A qué rama pertenece la licenciatura que actualmente estudias?,¿Qué tan importante es la educación de ciberseguridad para ti?,¿Cuál crees que es la cuestión más importante en temas de educación de ciberseguridad?,¿Para qué usas el internet?,,,,,Selecciona las redes sociales que utilizas en tu día a día,,,,,,Selecciona las plataformas de streaming que utilizas en tu día a día,,,,,,,¿Cuántas horas en promedio pasas en plataformas de streaming al día? ,Selecciona la plataforma de videojuegos que más utilizas,Selecciona las plataformas educativas que utilizas en tu día a día,,,,¿Dónde consideras que existe mayor riesgo de amenazas y/o ciber ataques?,¿Alguna vez has sido víctima de alguna amenaza cibernética? ,¿Cuántas horas en promedio pasas en redes sociales al día? ,¿Usas las redes sociales como apoyo en tus estudios universitarios? ,¿Qué páginas usas para tus estudios?,,,,,¿Cuál crees que es el mayor beneficio de las redes sociales en tus estudios ?,¿Qué tan familiarizado estas con las amenazas cibernéticas? ,¿Cuál crees que es la mayor amenaza para ti cuando te conectas?,Señala si has recibido alguna de estas amenazas  cibernéticas:,,,,,¿Alguna vez has agregado a una persona que no conocías en una red social o en alguna plataforma de videojuegos?,¿En dónde agregaste a una persona desconocida? Selecciona todas las opciones que apliquen.,,,,,¿A cuántas personas? ,¿Compartiste información sensibles con ellos?,¿Fuiste víctima de alguna de estas opciones?,,,,"¿Has recibido un mensaje directo sospechoso por redes sociales pidiéndote que le des click a un link, descargues un archivo o proporciones datos personales como datos bancarios?",¿Hiciste lo que se te pedía en el mensaje?,¿Reportaste la cuenta?,¿Lees los avisos de privacidad de las páginas en las que navegas? ,¿Utilizas la misma contraseña para tus diferentes cuentas electrónicas?,¿Con qué frecuencia cambias tus contraseña  si no te obliga la pagina? ,¿Utilizas un administrador de contraseñas (Autofill)?,¿Tomas medidas y acciones  para mantener en privacidad tus datos? ,¿Cuáles medidas tomas?,,,,,,¿Qué percepción tienes acerca de los peligros que puedes correr en línea?
18/11/2021 23:26:22,17-20,Femenino,Ciencias Sociales,Muy importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,Claro Video,HBO Max,Disney +,,,3-4 horas,38,25,,,,Redes sociales,55,Más de 4 horas,61,Noticieros/periódicos,Revistas científicas o similares,,,,Descarga de documentos,Regular,Intimidación o acoso por parte de amigos o conocidos,Spam,Phishing,,,,61,Instagram,,,,,4 a 6,62,95,,,,55,56,55,Casi nunca,101,7 a 12 meses,101,102,,,,,,,Los considero importantes
18/11/2021 23:34:25,21-24,Femenino,Ciencia,Importante,Proteger información personal en linea,Redes Sociales,Streaming,,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,,,,,,,Menos de 1 hora,38,38,,,,Navegación web,56,Entre 3 y 4 horas,61,Tutoriales o crash courses,,,,,Descarga de documentos,Algo,20,Spam,Spoofing,,,,61,Facebook,,,,,1 a 3,62,95,,,,55,56,55,Casi nunca,101,1 a 2 años,101,102,,,,,,,Me son indiferentes
18/11/2021 23:41:21,17-20,Femenino,Ciencia,Importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,Streaming,Plataformas educativas,,,Instagram,TikTok,,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,3-4 horas,38,Coursera,,,,Redes sociales,56,Entre 3 y 4 horas,61,Tutoriales o crash courses,Revistas científicas o similares,,,,Videos,Regular,Avances sexuales no deseados por redes sociales,Spam,,,,,62,,,,,,,,,,,,56,,,A veces,101,1 a 2 años,101,102,,,,,,,Los considero importantes
19/11/2021 0:34:16,21-24,Masculino,Ciencia,Importante,Proteger información personal en linea,Redes Sociales,Videojuegos,Plataformas educativas,,,Facebook,Instagram,,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,Play Station,Chegg,,,,E-mail,55,Entre 1 y 2 horas,62,,,,,,,Algo,20,Spam,Phishing,Spoofing,,,61,Instagram,,,,,4 a 6,62,Negocio pirámide (Pyramid scheme),Estafa,Fraude,,55,56,55,A veces,102,Más de 2 años,101,101,VF2 (autentificación de dos pasos),Leer los avisos de privacidad,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,Los considero importantes
19/11/2021 7:14:55,21-24,Femenino,Ciencias Sociales,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,Disney +,,,,,Menos de 1 hora,38,25,,,,Redes sociales,56,Entre 3 y 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,,,Colaboración de proyectos,Regular,20,No aplica,,,,,61,Facebook,Instagram,,,,4 a 6,62,95,,,,55,56,56,Casi nunca,102,Más de 2 años,101,102,,,,,,,No los conozco
19/11/2021 8:48:23,17-20,Femenino,Ciencias Sociales,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,38,25,,,,Redes sociales,56,Entre 3 y 4 horas,61,Noticieros/periódicos,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,,Colaboración de proyectos,Muy poco,Que alguien use tus fotos de manera inapropiada,No aplica,,,,,62,,,,,,,,,,,,56,,,Nunca,101,Más de 2 años,102,101,VF2 (autentificación de dos pasos),Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,,Los considero importantes
19/11/2021 8:52:08,21-24,Femenino,11,Importante,Proteger información personal en linea,Redes Sociales,,,,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,,,,,,1-2 horas,Nintendo,38,,,,Redes sociales,56,Entre 3 y 4 horas,61,Una página de un profesionista influyente en tu área,,,,,Colaboración de proyectos,Regular,Intimidación o acoso por parte de amigos o conocidos,Spam,,,,,61,Facebook,Instagram,Twitter,TikTok,,1 a 3,62,95,,,,55,56,55,Nunca,102,Más de 2 años,101,101,VF2 (autentificación de dos pasos),,,,,,Los considero importantes
19/11/2021 10:03:46,21-24,Femenino,11,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,25,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,Disney +,,,,,3-4 horas,PC,38,,,,Redes sociales,56,Más de 4 horas,61,Una página de un profesionista influyente en tu área,,,,,Videos,Muy poco,Que alguien use tus fotos de manera inapropiada,Spam,,,,,61,Facebook,Instagram,,,,6 a 10,62,Extorsión,,,,55,56,56,Nunca,101,Más de 2 años,102,101,Tengo antivirus descargado en mi dispositivo,,,,,,Conozco los peligros pero no me afectan
19/11/2021 10:10:15,21-24,Femenino,Ciencias Sociales,Importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,Streaming,Plataformas educativas,,,Facebook,,,,,,Netflix,HBO Max,Disney +,,,,,1-2 horas,38,25,,,,Redes sociales,56,Entre 1 y 2 horas,61,Tutoriales o crash courses,,,,,Colaboración de proyectos,Muy poco,Avances sexuales no deseados por redes sociales,Ciber bullying,Spam,,,,62,,,,,,,,,,,,55,56,55,Nunca,101,Más de 2 años,101,102,,,,,,,Conozco los peligros pero no me afectan
19/11/2021 10:26:11,21-24,Masculino,Ingeniería,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,25,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,Xbox,Chegg,,,,Redes sociales,55,Entre 1 y 2 horas,62,,,,,,,Algo,20,Robo de identidad,Spam,,,,61,Facebook,Instagram,,,,6 a 10,62,95,,,,55,56,56,A veces,102,1 a 2 años,101,102,,,,,,,Conozco los peligros pero no me afectan
19/11/2021 10:58:20,25 +,Masculino,Ciencias Sociales,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,,,,,,Menos de 1 hora,Xbox,Coursera,,,,Navegación web,56,Entre 3 y 4 horas,62,,,,,,,Algo,20,Ciber acoso,Spam,Phishing,,,61,Facebook,31,,,,1 a 3,62,95,,,,56,,,Casi nunca,101,Más de 2 años,101,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,,Conozco los peligros pero no me afectan
19/11/2021 11:26:47,17-20,Masculino,Ciencia,Muy importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,25,Twitter,,,,,,Netflix,HBO Max,,,,,,1-2 horas,Xbox,Khan Academy,Coursera,25,,Navegación web,56,Menos de 1 hora,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,Una página de un profesionista influyente en tu área,25,Descarga de documentos,Regular,Que alguien use tus fotos de manera inapropiada,Spam,Spoofing,,,,62,,,,,,,,,,,,55,56,55,A veces,102,Más de 2 años,102,101,VF2 (autentificación de dos pasos),Leer los avisos de privacidad,Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,114,Los considero importantes
19/11/2021 11:31:18,21-24,Masculino,Ciencia,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,,,Instagram,Twitter,,,,,Netflix,Amazon Prime,HBO Max,25,,,,1-2 horas,Play Station,38,,,,Navegación web,56,Menos de 1 hora,62,,,,,,,Regular,Que alguien use tus fotos de manera inapropiada,Spam,,,,,61,Facebook,31,,,,1 a 3,62,95,,,,55,56,56,Nunca,101,1 a 2 años,101,101,VF2 (autentificación de dos pasos),Checar que la conexión sea segura antes de hacer pagos en línea,,,,,Los considero importantes
19/11/2021 12:00:04,21-24,Masculino,Ingeniería,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Facebook,Instagram,Twitter,TikTok,,,38,,,,,,,Menos de 1 hora,Play Station,25,,,,Redes sociales,55,Más de 4 horas,61,Noticieros/periódicos,,,,,Comunicación entre profesores y estudiantes,Mucho,20,Spam,Phishing,Spoofing,,,62,,,,,,,,,,,,55,56,55,Casi nunca,102,Más de 2 años,102,101,Cambio constante de contraseñas,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,,Nunca me siento seguro y me preocupan mucho los peligros
19/11/2021 12:05:32,21-24,Masculino,Ciencia,Muy importante,Proteger información personal en linea,Redes Sociales,Videojuegos,Plataformas educativas,25,,Facebook,Instagram,Twitter,,,,Netflix,25,,,,,,1-2 horas,Play Station,25,,,,E-mail,55,Entre 1 y 2 horas,62,,,,,,,Regular,20,Spam,,,,,61,Facebook,,,,,1 a 3,62,95,,,,55,56,56,Nunca,101,Más de 2 años,102,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,,,,,Los considero importantes
19/11/2021 12:08:45,21-24,Femenino,Ciencia,Importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,Snapchat,,Netflix,Amazon Prime,Disney +,25,,,,1-2 horas,Nintendo,25,,,,Navegación web,56,Entre 3 y 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,31,Algo,Que alguien use tus fotos de manera inapropiada,Ciber acoso,Ciber bullying,Robo de identidad,Spam,Spoofing,61,Facebook,Instagram,Twitter,TikTok,,11 o más,61,Otra,,,,55,56,56,Nunca,101,Más de 2 años,101,102,,,,,,,Conozco los peligros pero no me afectan
19/11/2021 12:11:06,21-24,Femenino,Ciencias Sociales,Importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,Twitter,TikTok,31,,Netflix,HBO Max,,,,,,Más de 4 horas,38,Chegg,25,,,Redes sociales,56,Más de 4 horas,62,,,,,,,Algo,Que alguien use tus fotos de manera inapropiada,Robo de identidad,,,,,61,Facebook,Instagram,Twitter,TikTok,,11 o más,62,95,,,,55,56,55,A veces,102,Más de 2 años,101,101,VF2 (autentificación de dos pasos),,,,,,Conozco los peligros pero no me afectan
19/11/2021 12:11:17,21-24,Masculino,Ciencia,Importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,Twitter,TikTok,31,,Netflix,Amazon Prime,Blim,HBO Max,Disney +,25,,1-2 horas,38,25,,,,Redes sociales,56,Más de 4 horas,61,Una página de un profesionista influyente en tu área,,,,,Descarga de documentos,Muy poco,Que alguien use tus fotos de manera inapropiada,Phishing,,,,,61,Facebook,Instagram,31,,,11 o más,62,95,,,,55,56,56,Nunca,102,1 a 6 meses,101,101,Cambio constante de contraseñas,Tengo antivirus descargado en mi dispositivo,,,,,No los conozco
19/11/2021 12:20:48,21-24,Masculino,Ingeniería,Importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Facebook,Instagram,,,,,Netflix,Amazon Prime,Disney +,,,,,1-2 horas,Play Station,Coursera,,,,Navegación web,55,Entre 1 y 2 horas,62,,,,,,,Algo,Que alguien use tus fotos de manera inapropiada,Spam,Phishing,Spoofing,,,61,Facebook,Instagram,31,,,4 a 6,62,95,,,,55,56,55,Siempre,102,7 a 12 meses,101,101,Cambio constante de contraseñas,Leer los avisos de privacidad,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,Los considero importantes
19/11/2021 12:20:56,21-24,Masculino,Ciencia,Muy importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Facebook,Instagram,Twitter,TikTok,,,38,,,,,,,Menos de 1 hora,Xbox,25,,,,E-mail,55,Más de 4 horas,61,Noticieros/periódicos,,,,,Colaboración de proyectos,Algo,20,Robo de identidad,Spam,Spoofing,,,61,Facebook,Instagram,,,,11 o más,62,Estafa,,,,55,56,56,Nunca,102,Más de 2 años,101,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,,Los considero importantes
19/11/2021 12:31:58,21-24,Masculino,Ingeniería,Importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,,,,,Netflix,,,,,,,Menos de 1 hora,Nintendo,Khan Academy,Coursera,,,Redes sociales,56,Entre 3 y 4 horas,61,Tutoriales o crash courses,Revistas científicas o similares,,,,Comunicación entre profesores y estudiantes,Regular,Que alguien use tus fotos de manera inapropiada,Phishing,,,,,62,,,,,,,,,,,,55,56,56,Casi nunca,101,1 a 2 años,102,101,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,,,Conozco los peligros pero no me afectan
19/11/2021 12:32:47,17-20,Femenino,Ingeniería,Importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,25,,,Instagram,Twitter,TikTok,,,,Netflix,,,,,,,Menos de 1 hora,38,Coursera,25,,,Navegación web,56,Entre 1 y 2 horas,61,Noticieros/periódicos,Tutoriales o crash courses,,,,Colaboración de proyectos,Muy poco,Que alguien use tus fotos de manera inapropiada,Spam,,,,,61,Facebook,,,,,6 a 10,62,Otra,95,,,55,56,55,Casi nunca,101,1 a 6 meses,101,102,,,,,,,Los considero importantes
19/11/2021 12:35:45,25 +,Femenino,Ingeniería,Importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,Twitter,TikTok,31,,Netflix,Amazon Prime,Claro Video,HBO Max,,,,3-4 horas,Xbox,Coursera,,,,E-mail,56,Entre 3 y 4 horas,61,Tutoriales o crash courses,25,,,,Comunicación entre profesores y estudiantes,Muy poco,Que alguien use tus fotos de manera inapropiada,Ciber bullying,Spam,,,,61,Facebook,Instagram,Twitter,,,1 a 3,62,Otra,,,,55,56,56,Nunca,101,1 a 2 años,102,102,,,,,,,Me son indiferentes
19/11/2021 12:40:06,21-24,Masculino,Ingeniería,Muy importante,Proteger información personal en linea,Redes Sociales,Videojuegos,Plataformas educativas,,,Facebook,Instagram,,,,,38,,,,,,,Menos de 1 hora,PC,Khan Academy,25,,,Navegación web,56,Entre 3 y 4 horas,61,Tutoriales o crash courses,Una página de un profesionista influyente en tu área,,,,Comunicación entre profesores y estudiantes,Algo,20,No aplica,,,,,62,,,,,,,,,,,,55,56,55,Casi siempre,102,1 a 2 años,102,101,VF2 (autentificación de dos pasos),Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,,Los considero importantes
19/11/2021 12:42:27,21-24,Femenino,Ingeniería,Importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,25,,Instagram,Twitter,31,,,,Netflix,Amazon Prime,HBO Max,Disney +,25,,,1-2 horas,38,Coursera,,,,Aplicaciones,56,Entre 3 y 4 horas,62,,,,,,,Regular,20,Spam,Spoofing,,,,61,Facebook,Instagram,Twitter,,,11 o más,62,95,,,,55,56,56,Nunca,102,7 a 12 meses,101,102,,,,,,,Conozco los peligros pero no me afectan
19/11/2021 12:53:34,21-24,Femenino,11,Importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,31,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,Menos de 1 hora,38,38,,,,Redes sociales,56,Entre 3 y 4 horas,61,Noticieros/periódicos,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,,Colaboración de proyectos,Muy poco,Que alguien use tus fotos de manera inapropiada,Spam,,,,,61,Twitter,,,,,11 o más,62,95,,,,56,,,Casi nunca,101,1 a 2 años,101,102,,,,,,,Conozco los peligros pero no me afectan
19/11/2021 13:19:56,17-20,Femenino,Ingeniería,Poco importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,TikTok,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,38,Khan Academy,,,,Smartphone,56,Entre 3 y 4 horas,62,,,,,,,Nada,Que alguien use tus fotos de manera inapropiada,Spam,,,,,62,,,,,,,,,,,,55,56,55,Nunca,102,Más de 2 años,101,102,,,,,,,Me son indiferentes
19/11/2021 13:24:46,25 +,Femenino,Ingeniería,Importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,Nintendo,Coursera,,,,Redes sociales,56,Menos de 1 hora,62,,,,,,,Regular,20,Ciber acoso,Spam,,,,61,Facebook,,,,,1 a 3,62,Negocio pirámide (Pyramid scheme),,,,55,56,56,Casi nunca,101,Más de 2 años,101,102,,,,,,,Conozco los peligros pero no me afectan
19/11/2021 14:18:16,25 +,Masculino,Ingeniería,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,,,,,Netflix,HBO Max,,,,,,1-2 horas,Xbox,25,,,,Navegación web,56,Entre 1 y 2 horas,61,25,,,,,Colaboración de proyectos,Regular,20,Spam,,,,,62,,,,,,,,,,,,55,56,56,Casi nunca,102,Más de 2 años,102,102,,,,,,,Los considero importantes
19/11/2021 14:19:42,17-20,Masculino,Ciencia,Importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Instagram,Twitter,Snapchat,,,,Netflix,Amazon Prime,,,,,,Menos de 1 hora,Xbox,Khan Academy,,,,Redes sociales,55,Entre 1 y 2 horas,62,,,,,,,Regular,Intimidación o acoso por parte de amigos o conocidos,Ciber acoso,Ciber bullying,Robo de identidad,Spam,Phishing,61,31,,,,,11 o más,61,95,,,,55,56,55,Nunca,101,1 a 2 años,101,102,,,,,,,Conozco los peligros pero no me afectan
19/11/2021 14:36:07,21-24,Femenino,11,Importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,25,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,HBO Max,,,,,1-2 horas,Xbox,Chegg,,,,Redes sociales,56,Entre 3 y 4 horas,61,Tutoriales o crash courses,,,,,Videos,Regular,Avances sexuales no deseados por redes sociales,No aplica,,,,,61,Facebook,Instagram,,,,1 a 3,62,95,,,,55,56,55,Casi nunca,101,Más de 2 años,101,102,,,,,,,Los considero importantes
19/11/2021 14:41:28,21-24,Femenino,Ingeniería,Importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,25,,,Facebook,Instagram,TikTok,31,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,3-4 horas,Nintendo,Chegg,25,,,Aplicaciones,56,Entre 3 y 4 horas,62,,,,,,,Algo,Que alguien use tus fotos de manera inapropiada,Ciber bullying,,,,,61,Facebook,Instagram,Twitter,,,4 a 6,62,95,,,,56,,,Casi siempre,102,7 a 12 meses,102,102,,,,,,,Los considero importantes
19/11/2021 14:44:27,21-24,Femenino,Ingeniería,Muy importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Instagram,Twitter,,,,,Netflix,Disney +,,,,,,Menos de 1 hora,38,38,,,,Redes sociales,56,Más de 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,31,Regular,Que alguien use tus fotos de manera inapropiada,Ciber bullying,Spam,,,,62,,,,,,,,,,,,55,56,56,Nunca,102,Más de 2 años,102,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,Nunca me siento seguro y me preocupan mucho los peligros
19/11/2021 15:47:26,21-24,Masculino,Ingeniería,Importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,25,,,Facebook,Instagram,Twitter,,,,Netflix,HBO Max,,,,,,Menos de 1 hora,Xbox,Coursera,,,,Smartphone,56,Entre 1 y 2 horas,61,Tutoriales o crash courses,Revistas científicas o similares,,,,Colaboración de proyectos,Muy poco,Intimidación o acoso por parte de amigos o conocidos,Spam,,,,,61,Facebook,,,,,1 a 3,62,95,,,,56,,,Casi nunca,101,Más de 2 años,101,102,,,,,,,No los conozco
19/11/2021 16:45:52,25 +,Masculino,Ciencias Sociales,Importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Instagram,,,,,,Netflix,Amazon Prime,Disney +,,,,,Menos de 1 hora,38,38,,,,Smartphone,56,Entre 3 y 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,,,Comunicación entre profesores y estudiantes,Regular,Que alguien use tus fotos de manera inapropiada,Robo de identidad,Phishing,Spoofing,,,61,Facebook,Instagram,Twitter,31,,6 a 10,62,95,,,,55,56,55,Nunca,102,1 a 2 años,101,102,,,,,,,Los considero importantes
20/11/2021 1:19:38,21-24,Masculino,11,Importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,,,,,,Menos de 1 hora,38,25,,,,Redes sociales,56,Entre 1 y 2 horas,62,,,,,,,Nada,20,Spam,,,,,61,Facebook,Instagram,,,,11 o más,62,95,,,,56,,,Casi nunca,102,1 a 2 años,101,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,,,,,Conozco los peligros pero no me afectan
20/11/2021 12:29:33,17-20,Femenino,Ciencia,Importante,Proteger información personal en linea,Redes Sociales,Videojuegos,Plataformas educativas,,,Instagram,Twitter,TikTok,,,,Netflix,,,,,,,Menos de 1 hora,Nintendo,Khan Academy,Coursera,25,,Redes sociales,56,Entre 1 y 2 horas,62,,,,,,,Regular,Que alguien use tus fotos de manera inapropiada,Ciber acoso,Spam,Spoofing,,,62,,,,,,,,,,,,55,56,55,Casi nunca,101,7 a 12 meses,102,101,Cambio constante de contraseñas,Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,Los considero importantes
22/11/2021 10:15:19,21-24,Masculino,Ciencia,Poco importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,,,,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,Xbox,38,,,,Redes sociales,55,Más de 4 horas,62,,,,,,,Muy poco,Avances sexuales no deseados por redes sociales,Ciber acoso,Ciber bullying,Robo de identidad,Spoofing,,61,Facebook,Instagram,Twitter,,,11 o más,62,Extorsión,Negocio pirámide (Pyramid scheme),,,55,56,55,Nunca,102,Más de 2 años,102,102,,,,,,,Me son indiferentes
22/11/2021 13:40:48,21-24,Femenino,11,Muy importante,Proteger información personal en linea,25,,,,,Facebook,Instagram,Twitter,,,,Netflix,Disney +,,,,,,Más de 4 horas,25,25,,,,Redes sociales,56,Más de 4 horas,61,Revistas científicas o similares,,,,,Comunicación entre profesores y estudiantes,Nada,Avances sexuales no deseados por redes sociales,Robo de identidad,Spam,,,,61,Facebook,,,,,11 o más,62,Otra,,,,55,55,55,A veces,101,Más de 2 años,102,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,,,,,Los considero importantes
22/11/2021 14:27:59,21-24,Masculino,Ciencias Sociales,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,,,Instagram,Twitter,,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,3-4 horas,Xbox,38,,,,Redes sociales,56,Entre 3 y 4 horas,61,Noticieros/periódicos,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,,Comunicación entre profesores y estudiantes,Regular,20,Spam,,,,,61,Facebook,,,,,1 a 3,62,95,,,,56,,,A veces,102,1 a 6 meses,102,101,Cambio constante de contraseñas,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,,,,Conozco los peligros pero no me afectan
22/11/2021 14:59:37,21-24,Masculino,Ingeniería,Importante,Proteger información personal en linea,Redes Sociales,Videojuegos,Plataformas educativas,,,Facebook,Instagram,,,,,Netflix,Disney +,,,,,,1-2 horas,Nintendo,Coursera,,,,Navegación web,56,Menos de 1 hora,62,,,,,,,Regular,Que alguien use tus fotos de manera inapropiada,Spam,,,,,61,31,,,,,4 a 6,62,95,,,,56,,,A veces,102,Más de 2 años,101,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,,Los considero importantes
22/11/2021 16:02:20,21-24,Femenino,Ingeniería,Importante,Proteger información personal en linea,Redes Sociales,Streaming,,,,Instagram,TikTok,Snapchat,,,,Netflix,Disney +,25,,,,,3-4 horas,38,25,,,,Redes sociales,56,Entre 1 y 2 horas,61,Tutoriales o crash courses,Una página de un profesionista influyente en tu área,,,,Colaboración de proyectos,Muy poco,Que alguien use tus fotos de manera inapropiada,Spam,,,,,62,,,,,,,,,,,,55,56,56,Nunca,102,Más de 2 años,102,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,,Los considero importantes
