Marca temporal,¿Qué edad tienes?,¿Con que género te identificas?,¿A qué rama pertenece la licenciatura que actualmente estudias?,¿Qué tan importante es la educación de ciberseguridad para ti?,¿Cuál crees que es la cuestión más importante en temas de educación de ciberseguridad?,¿Para qué usas el internet?,,,,,Selecciona las redes sociales que utilizas en tu día a día,,,,,,Selecciona las plataformas de streaming que utilizas en tu día a día,,,,,,,¿Cuántas horas en promedio pasas en plataformas de streaming al día? ,Selecciona la plataforma de videojuegos que más utilizas,Selecciona las plataformas educativas que utilizas en tu día a día,,,,¿Dónde consideras que existe mayor riesgo de amenazas y/o ciber ataques?,¿Alguna vez has sido víctima de alguna amenaza cibernética? ,¿Cuántas horas en promedio pasas en redes sociales al día? ,¿Usas las redes sociales como apoyo en tus estudios universitarios? ,¿Qué páginas usas para tus estudios?,,,,,¿Cuál crees que es el mayor beneficio de las redes sociales en tus estudios ?,¿Qué tan familiarizado estas con las amenazas cibernéticas? ,¿Cuál crees que es la mayor amenaza para ti cuando te conectas?,Señala si has recibido alguna de estas amenazas  cibernéticas:,,,,,¿Alguna vez has agregado a una persona que no conocías en una red social o en alguna plataforma de videojuegos?,¿En dónde agregaste a una persona desconocida? Selecciona todas las opciones que apliquen.,,,,,¿A cuántas personas? ,¿Compartiste información sensibles con ellos?,¿Fuiste víctima de alguna de estas opciones?,,,,"¿Has recibido un mensaje directo sospechoso por redes sociales pidiéndote que le des click a un link, descargues un archivo o proporciones datos personales como datos bancarios?",¿Hiciste lo que se te pedía en el mensaje?,¿Reportaste la cuenta?,¿Lees los avisos de privacidad de las páginas en las que navegas? ,¿Utilizas la misma contraseña para tus diferentes cuentas electrónicas?,¿Con qué frecuencia cambias tus contraseña  si no te obliga la pagina? ,¿Utilizas un administrador de contraseñas (Autofill)?,¿Tomas medidas y acciones  para mantener en privacidad tus datos? ,¿Cuáles medidas tomas?,,,,,,¿Qué percepción tienes acerca de los peligros que puedes correr en línea?
22/11/2021 20:11:16,25 +,Femenino,Ciencia,Muy importante,Proteger información personal en linea,Redes Sociales,,,,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,HBO Max,Disney +,25,,,1-2 horas,Nintendo,25,,,,Aplicaciones,56,Menos de 1 hora,62,,,,,,,Algo,Que alguien use tus fotos de manera inapropiada,No aplica,,,,,62,,,,,,,,,,,,56,,,Casi nunca,101,Más de 2 años,102,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,,Los considero importantes
23/11/2021 9:21:50,21-24,Femenino,Ciencia,Importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Instagram,TikTok,,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,Nintendo,Khan Academy,,,,Redes sociales,56,Entre 3 y 4 horas,61,Tutoriales o crash courses,Revistas científicas o similares,,,,Descarga de documentos,Algo,20,No aplica,,,,,62,,,,,,,,,,,,56,,,Casi nunca,101,1 a 2 años,101,101,Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,,,Los considero importantes
23/11/2021 9:42:26,21-24,Femenino,Ciencias Sociales,Muy importante,Proteger información personal en linea,Redes Sociales,25,,,,Instagram,TikTok,Snapchat,,,,Netflix,Disney +,,,,,,1-2 horas,38,38,,,,Navegación web,56,Entre 3 y 4 horas,61,Tutoriales o crash courses,Una página de un profesionista influyente en tu área,,,,Videos,Muy poco,20,Spam,Spoofing,,,,61,Facebook,Instagram,,,,1 a 3,62,Estafa,,,,56,,,Casi nunca,102,Más de 2 años,101,101,Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,,Los considero importantes
23/11/2021 9:47:53,21-24,Femenino,Ciencias Sociales,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,25,,,Instagram,,,,,,Netflix,,,,,,,Menos de 1 hora,Nintendo,Khan Academy,,,,Redes sociales,56,Menos de 1 hora,62,,,,,,,Regular,Que alguien use tus fotos de manera inapropiada,Ciber acoso,Ciber bullying,Spam,,,61,Facebook,Instagram,,,,1 a 3,62,95,,,,55,56,55,Casi nunca,102,Más de 2 años,101,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,Los considero importantes
23/11/2021 9:48:26,21-24,Femenino,Ciencias Sociales,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,,,,,,1-2 horas,PC,Coursera,,,,Redes sociales,56,Más de 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,Colaboración de proyectos,Muy poco,Intimidación o acoso por parte de amigos o conocidos,Ciber acoso,Ciber bullying,Spam,,,61,Instagram,31,,,,1 a 3,62,95,,,,55,56,55,A veces,102,1 a 2 años,102,101,Cambio constante de contraseñas,VF2 (autentificación de dos pasos),Leer los avisos de privacidad,Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,Los considero importantes
23/11/2021 9:48:39,21-24,Femenino,Ciencias Sociales,Poco importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,3-4 horas,38,38,,,,Redes sociales,56,Más de 4 horas,61,Revistas científicas o similares,,,,,Comunicación entre profesores y estudiantes,Nada,Que alguien use tus fotos de manera inapropiada,Spam,,,,,61,Facebook,,,,,1 a 3,62,95,,,,56,,,Nunca,102,Más de 2 años,101,102,,,,,,,Conozco los peligros pero no me afectan
23/11/2021 10:14:28,17-20,Masculino,11,Poco importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Videojuegos,Plataformas educativas,,,Instagram,Twitter,TikTok,,,,25,,,,,,,Menos de 1 hora,PC,Khan Academy,Coursera,,,E-mail,55,Entre 3 y 4 horas,61,Tutoriales o crash courses,Una página de un profesionista influyente en tu área,25,,,Colaboración de proyectos,Muy poco,Que alguien use tus fotos de manera inapropiada,Ciber acoso,Spam,Phishing,Spoofing,,61,31,,,,,1 a 3,61,95,,,,55,56,56,Casi nunca,102,Más de 2 años,102,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,,No los conozco
23/11/2021 10:19:50,17-20,Masculino,Ingeniería,Muy importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,Disney +,25,,,,1-2 horas,PC,Khan Academy,Coursera,Chegg,25,Navegación web,55,Entre 1 y 2 horas,61,Tutoriales o crash courses,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,,Videos,Mucho,Que alguien use tus fotos de manera inapropiada,Robo de identidad,Phishing,Spoofing,,,61,Facebook,Instagram,Twitter,TikTok,31,11 o más,61,Extorsión,Negocio pirámide (Pyramid scheme),Estafa,Fraude,55,56,55,Casi siempre,101,1 a 6 meses,101,101,Cambio constante de contraseñas,VF2 (autentificación de dos pasos),Checar que la conexión sea segura antes de hacer pagos en línea,,,,Los considero importantes
23/11/2021 10:24:21,17-20,Femenino,11,Importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,Snapchat,,,,Netflix,Amazon Prime,Disney +,,,,,1-2 horas,38,38,,,,Navegación web,56,Más de 4 horas,61,Noticieros/periódicos,Una página de un profesionista influyente en tu área,,,,Comunicación entre profesores y estudiantes,Muy poco,Que alguien use tus fotos de manera inapropiada,No aplica,,,,,62,,,,,,,,,,,,56,,,Nunca,101,1 a 2 años,101,102,,,,,,,Los considero importantes
23/11/2021 10:35:33,17-20,Masculino,Ciencias Sociales,Importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Streaming,Plataformas educativas,25,,Facebook,Instagram,Twitter,TikTok,Snapchat,31,Netflix,Amazon Prime,HBO Max,Disney +,25,,,1-2 horas,38,Khan Academy,25,,,Navegación web,56,Entre 3 y 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,Colaboración de proyectos,Algo,Avances sexuales no deseados por redes sociales,Robo de identidad,Spam,Spoofing,,,61,Facebook,Instagram,Twitter,TikTok,,11 o más,62,95,,,,55,56,55,A veces,102,1 a 2 años,102,101,Cambio constante de contraseñas,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,Los considero importantes
23/11/2021 10:41:56,21-24,Masculino,11,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,25,,Instagram,Twitter,TikTok,,,,Netflix,Amazon Prime,HBO Max,,,,,1-2 horas,Xbox,38,,,,E-mail,56,Entre 3 y 4 horas,61,Revistas científicas o similares,,,,,Colaboración de proyectos,Muy poco,Que alguien use tus fotos de manera inapropiada,Spam,,,,,61,Facebook,Instagram,TikTok,,,11 o más,62,95,,,,56,,,Nunca,102,Más de 2 años,101,102,,,,,,,Los considero importantes
23/11/2021 10:47:09,21-24,Femenino,11,Importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,25,,Facebook,Instagram,,,,,Netflix,Amazon Prime,Blim,HBO Max,Disney +,,,Menos de 1 hora,Nintendo,25,,,,Navegación web,56,Menos de 1 hora,62,,,,,,,Regular,Avances sexuales no deseados por redes sociales,No aplica,,,,,62,,,,,,,,,,,,55,56,56,A veces,102,1 a 2 años,101,101,Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,,Los considero importantes
23/11/2021 11:04:35,21-24,Femenino,11,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Facebook,Instagram,Twitter,TikTok,Snapchat,,Netflix,Amazon Prime,Claro Video,Blim,HBO Max,Disney +,,1-2 horas,Play Station,25,,,,Navegación web,56,Entre 1 y 2 horas,61,Noticieros/periódicos,Una página de un profesionista influyente en tu área,,,,Colaboración de proyectos,Algo,Que alguien use tus fotos de manera inapropiada,Spam,,,,,61,Facebook,Instagram,TikTok,,,11 o más,62,95,,,,55,56,56,Nunca,102,Más de 2 años,101,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,,Los considero importantes
23/11/2021 12:34:02,21-24,Masculino,Ciencias Sociales,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,25,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,HBO Max,,,,,Menos de 1 hora,38,25,,,,Smartphone,56,Más de 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Una página de un profesionista influyente en tu área,,,Colaboración de proyectos,Muy poco,Que alguien use tus fotos de manera inapropiada,Spam,,,,,61,31,,,,,11 o más,61,95,,,,55,56,56,Nunca,102,Más de 2 años,101,101,Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,,Conozco los peligros pero no me afectan
23/11/2021 13:27:08,21-24,Femenino,11,Importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,Plataformas educativas,,,,Instagram,Twitter,TikTok,,,,Netflix,Amazon Prime,Disney +,,,,,1-2 horas,38,Khan Academy,25,,,Redes sociales,56,Entre 1 y 2 horas,61,Tutoriales o crash courses,,,,,Colaboración de proyectos,Regular,Avances sexuales no deseados por redes sociales,Spam,,,,,61,Facebook,Instagram,,,,4 a 6,62,95,,,,55,56,56,Nunca,102,1 a 6 meses,102,102,,,,,,,Conozco los peligros pero no me afectan
23/11/2021 14:27:26,17-20,Masculino,Ciencias Sociales,Importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Streaming,Plataformas educativas,,,Instagram,Twitter,TikTok,,,,Netflix,HBO Max,Disney +,,,,,3-4 horas,38,25,,,,Navegación web,56,Más de 4 horas,61,Noticieros/periódicos,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,,Comunicación entre profesores y estudiantes,Muy poco,20,Spam,Spoofing,,,,61,Facebook,Instagram,,,,4 a 6,62,Fraude,,,,55,56,55,Casi nunca,102,1 a 2 años,101,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,,Los considero importantes
23/11/2021 14:33:28,17-20,Femenino,11,Muy importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Instagram,TikTok,,,,,Netflix,Amazon Prime,Disney +,,,,,3-4 horas,38,Khan Academy,,,,Navegación web,56,Entre 1 y 2 horas,61,Noticieros/periódicos,Tutoriales o crash courses,,,,Comunicación entre profesores y estudiantes,Regular,Avances sexuales no deseados por redes sociales,Ciber acoso,Robo de identidad,,,,61,Instagram,,,,,6 a 10,62,95,,,,56,,,A veces,102,1 a 2 años,102,101,Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,,Los considero importantes
23/11/2021 14:33:36,17-20,Femenino,11,Muy importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Instagram,Twitter,TikTok,,,,Netflix,Disney +,,,,,,1-2 horas,Play Station,38,,,,Redes sociales,56,Entre 3 y 4 horas,61,Una página de un profesionista influyente en tu área,,,,,Colaboración de proyectos,Muy poco,Que alguien use tus fotos de manera inapropiada,Ciber acoso,,,,,62,,,,,,,,,,,,55,56,56,A veces,102,Más de 2 años,102,101,Checar que la conexión sea segura antes de hacer pagos en línea,,,,,,Los considero importantes
23/11/2021 14:33:42,17-20,Femenino,Ciencias Sociales,Muy importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Streaming,Plataformas educativas,25,,Facebook,Instagram,,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,38,25,,,,Redes sociales,56,Entre 3 y 4 horas,61,Una página de un profesionista influyente en tu área,25,,,,Colaboración de proyectos,Nada,Que alguien use tus fotos de manera inapropiada,Spam,Spoofing,,,,61,Facebook,,,,,6 a 10,62,95,,,,55,56,56,A veces,101,Más de 2 años,102,102,,,,,,,Conozco los peligros pero no me afectan
23/11/2021 14:41:46,17-20,Masculino,Humanidades,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Snapchat,31,,,,,25,,,,,,,Más de 4 horas,PC,25,,,,Redes sociales,56,Más de 4 horas,61,Tutoriales o crash courses,Una página de un profesionista influyente en tu área,,,,Videos,Mucho,Intimidación o acoso por parte de amigos o conocidos,Spam,Phishing,,,,61,Instagram,Twitter,,,,1 a 3,62,95,,,,55,56,55,Casi siempre,102,7 a 12 meses,102,101,Cambio constante de contraseñas,VF2 (autentificación de dos pasos),Leer los avisos de privacidad,Checar que la conexión sea segura antes de hacer pagos en línea,,,Los considero importantes
23/11/2021 18:49:42,21-24,Masculino,Ciencias Sociales,Importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,Twitter,TikTok,Snapchat,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,38,25,,,,Navegación web,56,Entre 3 y 4 horas,62,,,,,,,Regular,Avances sexuales no deseados por redes sociales,Spam,,,,,61,Instagram,31,,,,1 a 3,62,95,,,,55,56,55,Casi siempre,101,Más de 2 años,101,101,Leer los avisos de privacidad,Tengo antivirus descargado en mi dispositivo,Tapar tu cámara cuando no la estés usando,,,,Conozco los peligros pero no me afectan
23/11/2021 18:53:32,17-20,Masculino,Ciencias Sociales,Importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Instagram,Twitter,TikTok,,,,Netflix,Amazon Prime,HBO Max,,,,,Menos de 1 hora,38,25,,,,E-mail,55,Entre 3 y 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,,,31,Algo,20,Spam,,,,,61,Instagram,,,,,6 a 10,62,95,,,,55,56,56,Nunca,101,Más de 2 años,101,101,Checar que la conexión sea segura antes de hacer pagos en línea,,,,,,Los considero importantes
23/11/2021 18:53:44,21-24,Femenino,Ciencias Sociales,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,38,Khan Academy,Coursera,,,Navegación web,55,Entre 3 y 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,Descarga de documentos,Regular,20,Ciber acoso,Spam,Spoofing,,,61,Facebook,Instagram,Twitter,TikTok,,4 a 6,62,95,,,,55,56,55,A veces,102,7 a 12 meses,101,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,Los considero importantes
23/11/2021 18:54:58,17-20,Femenino,Ciencias Sociales,Muy importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,Twitter,,,,Netflix,,,,,,,Menos de 1 hora,38,Khan Academy,25,,,Redes sociales,56,Entre 3 y 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,,,Descarga de documentos,Algo,Que alguien use tus fotos de manera inapropiada,Spam,,,,,61,Facebook,Instagram,,,,6 a 10,62,95,,,,55,56,55,Casi siempre,102,Más de 2 años,102,101,Leer los avisos de privacidad,Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,Los considero importantes
23/11/2021 18:56:04,21-24,Femenino,Ciencias Sociales,Importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,38,38,,,,Redes sociales,55,Entre 1 y 2 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,Colaboración de proyectos,Algo,Avances sexuales no deseados por redes sociales,Ciber acoso,Ciber bullying,,,,61,Instagram,,,,,1 a 3,62,95,,,,55,56,55,Nunca,102,Más de 2 años,101,102,,,,,,,Nunca me siento seguro y me preocupan mucho los peligros
23/11/2021 18:56:37,17-20,Masculino,Ciencias Sociales,Importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,,,,,Twitter,,,,,,Netflix,Amazon Prime,,,,,,Menos de 1 hora,38,25,,,,Redes sociales,56,Entre 1 y 2 horas,62,,,,,,,Muy poco,Que alguien use tus fotos de manera inapropiada,Spam,Spoofing,,,,61,Instagram,Twitter,,,,11 o más,62,95,,,,55,56,55,A veces,101,1 a 2 años,102,102,,,,,,,Conozco los peligros pero no me afectan
23/11/2021 18:57:46,21-24,Masculino,Ciencias Sociales,Importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Facebook,Instagram,Twitter,TikTok,31,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,Play Station,25,,,,E-mail,56,Entre 1 y 2 horas,62,,,,,,,Regular,Que alguien use tus fotos de manera inapropiada,Robo de identidad,Spam,,,,61,Facebook,Instagram,Twitter,TikTok,,11 o más,62,Otra,95,,,55,56,56,Casi nunca,102,1 a 6 meses,101,102,,,,,,,Los considero importantes
23/11/2021 18:58:30,17-20,Masculino,Ciencias Sociales,Muy importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,3-4 horas,38,38,,,,Redes sociales,55,Entre 3 y 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,Colaboración de proyectos,Regular,Que alguien use tus fotos de manera inapropiada,Robo de identidad,Spam,,,,61,Facebook,,,,,11 o más,62,Otra,,,,55,56,55,Nunca,102,7 a 12 meses,101,101,Cambio constante de contraseñas,VF2 (autentificación de dos pasos),Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,Conozco los peligros pero no me afectan
23/11/2021 18:59:17,21-24,Femenino,Ciencias Sociales,Importante,Proteger información personal en linea,Redes Sociales,Videojuegos,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,31,,Netflix,Amazon Prime,HBO Max,Disney +,,,,Menos de 1 hora,38,25,,,,Redes sociales,55,Entre 1 y 2 horas,61,Noticieros/periódicos,Tutoriales o crash courses,,,,Comunicación entre profesores y estudiantes,Algo,Avances sexuales no deseados por redes sociales,Ciber bullying,Spam,,,,61,Facebook,Instagram,Twitter,,,11 o más,62,95,,,,55,56,55,A veces,101,1 a 6 meses,102,101,Cambio constante de contraseñas,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,Conozco los peligros pero no me afectan
23/11/2021 18:59:54,17-20,Femenino,Ciencias Sociales,Muy importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Instagram,Twitter,,,,,Netflix,Amazon Prime,HBO Max,,,,,1-2 horas,38,Khan Academy,,,,Redes sociales,56,Entre 3 y 4 horas,62,,,,,,,Muy poco,Avances sexuales no deseados por redes sociales,Spam,,,,,61,Facebook,Instagram,,,,6 a 10,62,Otra,,,,55,56,56,Nunca,102,1 a 2 años,102,101,VF2 (autentificación de dos pasos),Checar que la conexión sea segura antes de hacer pagos en línea,,,,,Los considero importantes
23/11/2021 19:00:24,17-20,Femenino,Ciencias Sociales,Importante,Proteger información personal en linea,Redes Sociales,,,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,38,38,,,,Redes sociales,56,Entre 3 y 4 horas,61,Noticieros/periódicos,Revistas científicas o similares,,,,Colaboración de proyectos,Muy poco,Avances sexuales no deseados por redes sociales,Spam,No aplica,,,,61,Facebook,Instagram,,,,6 a 10,62,95,,,,56,,,Nunca,102,1 a 2 años,102,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Tapar tu cámara cuando no la estés usando,,,,Los considero importantes
23/11/2021 19:01:08,17-20,Femenino,Ciencias Sociales,Poco importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,TikTok,,,,Netflix,Amazon Prime,,,,,,Menos de 1 hora,38,38,,,,Redes sociales,56,Entre 1 y 2 horas,62,,,,,,,Nada,Intimidación o acoso por parte de amigos o conocidos,No aplica,,,,,62,,,,,,,,,,,,55,56,56,Casi nunca,101,Más de 2 años,102,102,,,,,,,No los conozco
23/11/2021 19:02:19,21-24,Masculino,Ciencias Sociales,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,38,Khan Academy,25,,,Aplicaciones,56,Entre 3 y 4 horas,62,,,,,,,Mucho,Que alguien use tus fotos de manera inapropiada,Spam,Phishing,,,,61,Instagram,Twitter,TikTok,,,1 a 3,62,95,,,,55,56,55,Casi nunca,101,Más de 2 años,101,101,VF2 (autentificación de dos pasos),Checar que la conexión sea segura antes de hacer pagos en línea,,,,,Conozco los peligros pero no me afectan
23/11/2021 19:06:04,21-24,Femenino,Ciencias Sociales,Importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,,,,,Netflix,Amazon Prime,,,,,,1-2 horas,25,Coursera,,,,Redes sociales,56,Entre 1 y 2 horas,62,,,,,,,Muy poco,Intimidación o acoso por parte de amigos o conocidos,Spam,Phishing,,,,61,Facebook,Instagram,,,,11 o más,62,95,,,,55,56,55,Casi nunca,101,Más de 2 años,102,102,,,,,,,Los considero importantes
23/11/2021 19:44:09,21-24,Femenino,Ciencias Sociales,Importante,Proteger información personal en linea,Redes Sociales,Streaming,,,,Instagram,,,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,38,38,,,,Navegación web,56,Entre 1 y 2 horas,62,,,,,,,Regular,Intimidación o acoso por parte de amigos o conocidos,Spam,,,,,61,Instagram,,,,,1 a 3,62,95,,,,56,,,Nunca,102,7 a 12 meses,101,101,Tengo antivirus descargado en mi dispositivo,Tapar tu cámara cuando no la estés usando,,,,,Los considero importantes
23/11/2021 20:45:02,21-24,Femenino,Ciencias Sociales,Muy importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,Plataformas educativas,,,,Instagram,,,,,,Netflix,Amazon Prime,,,,,,Menos de 1 hora,Xbox,25,,,,Redes sociales,56,Entre 1 y 2 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,Descarga de documentos,Regular,Avances sexuales no deseados por redes sociales,Ciber acoso,Ciber bullying,Spam,,,61,Facebook,,,,,11 o más,62,95,,,,55,56,55,A veces,102,1 a 2 años,101,101,Cambio constante de contraseñas,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,,,,Los considero importantes
23/11/2021 21:43:46,17-20,Masculino,11,Muy importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,25,,,31,,,,,,Netflix,,,,,,,Menos de 1 hora,38,25,,,,Navegación web,56,Entre 1 y 2 horas,61,25,,,,,Colaboración de proyectos,Nada,20,Spam,,,,,61,Instagram,31,,,,1 a 3,62,95,,,,56,,,Siempre,101,Más de 2 años,102,101,Leer los avisos de privacidad,Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,114,,,Conozco los peligros pero no me afectan
23/11/2021 23:59:16,17-20,Femenino,Ciencias Sociales,Importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,38,38,,,,Redes sociales,56,Entre 1 y 2 horas,62,,,,,,,Muy poco,Avances sexuales no deseados por redes sociales,Spam,Spoofing,,,,61,Instagram,Twitter,,,,6 a 10,62,95,,,,55,56,56,Casi nunca,101,Más de 2 años,101,102,,,,,,,Conozco los peligros pero no me afectan
