Marca temporal,¿Qué edad tienes?,¿Con que género te identificas?,¿A qué rama pertenece la licenciatura que actualmente estudias?,¿Qué tan importante es la educación de ciberseguridad para ti?,¿Cuál crees que es la cuestión más importante en temas de educación de ciberseguridad?,¿Para qué usas el internet?,,,,,Selecciona las redes sociales que utilizas en tu día a día,,,,,,Selecciona las plataformas de streaming que utilizas en tu día a día,,,,,,,¿Cuántas horas en promedio pasas en plataformas de streaming al día? ,Selecciona la plataforma de videojuegos que más utilizas,Selecciona las plataformas educativas que utilizas en tu día a día,,,,¿Dónde consideras que existe mayor riesgo de amenazas y/o ciber ataques?,¿Alguna vez has sido víctima de alguna amenaza cibernética? ,¿Cuántas horas en promedio pasas en redes sociales al día? ,¿Usas las redes sociales como apoyo en tus estudios universitarios? ,¿Qué páginas usas para tus estudios?,,,,,¿Cuál crees que es el mayor beneficio de las redes sociales en tus estudios ?,¿Qué tan familiarizado estas con las amenazas cibernéticas? ,¿Cuál crees que es la mayor amenaza para ti cuando te conectas?,Señala si has recibido alguna de estas amenazas  cibernéticas:,,,,,¿Alguna vez has agregado a una persona que no conocías en una red social o en alguna plataforma de videojuegos?,¿En dónde agregaste a una persona desconocida? Selecciona todas las opciones que apliquen.,,,,,¿A cuántas personas? ,¿Compartiste información sensibles con ellos?,¿Fuiste víctima de alguna de estas opciones?,,,,"¿Has recibido un mensaje directo sospechoso por redes sociales pidiéndote que le des click a un link, descargues un archivo o proporciones datos personales como datos bancarios?",¿Hiciste lo que se te pedía en el mensaje?,¿Reportaste la cuenta?,¿Lees los avisos de privacidad de las páginas en las que navegas? ,¿Utilizas la misma contraseña para tus diferentes cuentas electrónicas?,¿Con qué frecuencia cambias tus contraseña  si no te obliga la pagina? ,¿Utilizas un administrador de contraseñas (Autofill)?,¿Tomas medidas y acciones  para mantener en privacidad tus datos? ,¿Cuáles medidas tomas?,,,,,,¿Qué percepción tienes acerca de los peligros que puedes correr en línea?
24/11/2021 23:10:12,21-24,Femenino,11,Importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Facebook,Instagram,Twitter,TikTok,Snapchat,,Netflix,Amazon Prime,Claro Video,HBO Max,Disney +,25,,1-2 horas,Play Station,Khan Academy,Coursera,25,,Redes sociales,56,Entre 1 y 2 horas,61,Noticieros/periódicos,Una página de un profesionista influyente en tu área,25,,,Descarga de documentos,Regular,Que alguien use tus fotos de manera inapropiada,Ciber acoso,Robo de identidad,Spam,,,61,Facebook,Instagram,Twitter,TikTok,31,1 a 3,62,95,,,,56,,,A veces,102,1 a 2 años,102,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,Los considero importantes
24/11/2021 23:19:23,21-24,Femenino,11,Importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,TikTok,,,,Netflix,Amazon Prime,Disney +,,,,,3-4 horas,Play Station,Coursera,25,,,Redes sociales,56,Entre 3 y 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,,,Descarga de documentos,Regular,Que alguien use tus fotos de manera inapropiada,Spam,,,,,61,Facebook,Instagram,,,,11 o más,62,Estafa,,,,55,56,56,Casi nunca,102,Más de 2 años,101,102,,,,,,,Conozco los peligros pero no me afectan
24/11/2021 23:21:02,21-24,Femenino,Ciencias Sociales,Importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,,,,,Netflix,,,,,,,Menos de 1 hora,38,25,,,,Redes sociales,55,Más de 4 horas,61,Una página de un profesionista influyente en tu área,,,,,Colaboración de proyectos,Muy poco,Que alguien use tus fotos de manera inapropiada,Ciber acoso,Spam,,,,61,Facebook,Instagram,,,,1 a 3,62,95,,,,55,56,55,Casi nunca,102,Más de 2 años,102,101,Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,,,Conozco los peligros pero no me afectan
29/11/2021 19:06:16,17-20,Femenino,Ciencia,Importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,,,,,Facebook,Instagram,Twitter,TikTok,Snapchat,,Netflix,Amazon Prime,HBO Max,Disney +,,,,Más de 4 horas,38,25,38,,,Redes sociales,56,Más de 4 horas,61,25,,,,,Comunicación entre profesores y estudiantes,Regular,Avances sexuales no deseados por redes sociales,Spam,,,,,62,,,,,,,,,,,,56,,,Nunca,101,Más de 2 años,102,102,,,,,,,Los considero importantes
29/11/2021 22:49:30,17-20,Femenino,Ingeniería,Importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Facebook,Instagram,TikTok,31,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,Xbox,Khan Academy,Coursera,25,,Redes sociales,56,Entre 3 y 4 horas,61,25,,,,,Colaboración de proyectos,Regular,Que alguien use tus fotos de manera inapropiada,No aplica,,,,,61,Instagram,,,,,1 a 3,62,95,,,,55,56,56,A veces,101,1 a 2 años,101,101,Leer los avisos de privacidad,Tengo antivirus descargado en mi dispositivo,Tapar tu cámara cuando no la estés usando,,,,Conozco los peligros pero no me afectan
30/11/2021 20:25:03,21-24,Masculino,Ingeniería,Muy importante,Proteger información personal en linea,Redes Sociales,Videojuegos,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Claro Video,HBO Max,Disney +,25,,,1-2 horas,Xbox,25,,,,Redes sociales,56,Entre 3 y 4 horas,61,Tutoriales o crash courses,,,,,Videos,Mucho,20,No aplica,,,,,61,Instagram,,,,,1 a 3,62,95,,,,56,,,Casi nunca,102,Más de 2 años,101,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,Los considero importantes
1/12/2021 21:17:39,17-20,Femenino,Ingeniería,Muy importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,TikTok,,,,Netflix,Amazon Prime,Disney +,,,,,3-4 horas,Xbox,25,,,,Redes sociales,56,Más de 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,,,Colaboración de proyectos,Muy poco,Que alguien use tus fotos de manera inapropiada,Spam,,,,,61,Instagram,,,,,1 a 3,62,95,,,,55,56,55,A veces,101,Más de 2 años,101,101,VF2 (autentificación de dos pasos),Tapar tu cámara cuando no la estés usando,,,,,Los considero importantes
2/12/2021 9:51:01,21-24,Masculino,Ciencia,Importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,3-4 horas,Xbox,25,,,,E-mail,56,Entre 1 y 2 horas,62,,,,,,,Algo,Avances sexuales no deseados por redes sociales,Spam,Phishing,,,,62,,,,,,,,,,,,55,56,55,Nunca,102,Más de 2 años,102,101,VF2 (autentificación de dos pasos),Checar que la conexión sea segura antes de hacer pagos en línea,,,,,Conozco los peligros pero no me afectan
2/12/2021 9:51:39,21-24,Femenino,Ingeniería,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,25,,,,,1-2 horas,PC,25,,,,Aplicaciones,56,Entre 1 y 2 horas,61,Tutoriales o crash courses,Una página de un profesionista influyente en tu área,,,,Comunicación entre profesores y estudiantes,Mucho,Avances sexuales no deseados por redes sociales,Ciber acoso,Robo de identidad,Spam,Phishing,Spoofing,61,Facebook,31,,,,11 o más,62,95,,,,55,56,55,Nunca,102,7 a 12 meses,102,101,Cambio constante de contraseñas,VF2 (autentificación de dos pasos),Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,Los considero importantes
2/12/2021 12:58:13,21-24,Femenino,Ciencias Sociales,Poco importante,"Evitar ciber acoso, ciber bullying, entre otros",Streaming,Videojuegos,,,,Instagram,,,,,,Claro Video,Blim,,,,,,1-2 horas,Xbox,Khan Academy,,,,Redes sociales,55,Entre 1 y 2 horas,62,,,,,,,Regular,Intimidación o acoso por parte de amigos o conocidos,Ciber acoso,,,,,62,,,,,,,,,,,,56,,,Casi nunca,101,7 a 12 meses,101,101,Checar que la conexión sea segura antes de hacer pagos en línea,,,,,,Los considero importantes
2/12/2021 13:01:28,17-20,Masculino,Ingeniería,Importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,,,Instagram,Twitter,TikTok,,,,Netflix,HBO Max,Disney +,,,,,3-4 horas,25,Chegg,,,,Navegación web,56,Más de 4 horas,62,,,,,,,Algo,20,Spoofing,,,,,62,,,,,,,,,,,,56,,,A veces,101,Más de 2 años,101,101,Tengo antivirus descargado en mi dispositivo,Tapar tu cámara cuando no la estés usando,,,,,Los considero importantes
2/12/2021 19:19:50,21-24,Masculino,11,Importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,25,,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,Claro Video,HBO Max,Disney +,,,1-2 horas,Xbox,Coursera,,,,Navegación web,56,Entre 1 y 2 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,,,Colaboración de proyectos,Nada,Intimidación o acoso por parte de amigos o conocidos,No aplica,,,,,61,Instagram,31,,,,6 a 10,62,95,,,,55,56,56,Nunca,101,Más de 2 años,101,101,114,,,,,,Conozco los peligros pero no me afectan
2/12/2021 19:24:33,17-20,Femenino,Ciencias Sociales,Importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,,,,,,Menos de 1 hora,38,25,,,,Redes sociales,56,Entre 1 y 2 horas,62,,,,,,,Nada,Intimidación o acoso por parte de amigos o conocidos,Ciber acoso,Ciber bullying,,,,61,Instagram,,,,,1 a 3,62,Extorsión,,,,55,56,56,Nunca,102,Más de 2 años,102,102,,,,,,,Los considero importantes
2/12/2021 19:24:35,17-20,Masculino,Ciencia,Importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Facebook,Instagram,Twitter,TikTok,Snapchat,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,PC,38,,,,Redes sociales,56,Entre 3 y 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,Comunicación entre profesores y estudiantes,Regular,Intimidación o acoso por parte de amigos o conocidos,No aplica,,,,,61,Facebook,,,,,1 a 3,62,95,,,,55,56,56,A veces,101,Más de 2 años,101,102,,,,,,,Los considero importantes
2/12/2021 19:27:14,21-24,Masculino,Ciencias Sociales,Poco importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,Streaming,Videojuegos,25,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,3-4 horas,Xbox,38,,,,Redes sociales,56,Entre 3 y 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,,,,Colaboración de proyectos,Muy poco,Intimidación o acoso por parte de amigos o conocidos,Spam,Spoofing,,,,61,Facebook,,,,,1 a 3,62,95,,,,55,56,56,Nunca,101,Más de 2 años,102,102,,,,,,,Conozco los peligros pero no me afectan
2/12/2021 19:27:49,21-24,Femenino,Ingeniería,Muy importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,,,,,Facebook,Instagram,,,,,Netflix,HBO Max,Disney +,,,,,1-2 horas,38,38,,,,Redes sociales,56,Entre 1 y 2 horas,61,Tutoriales o crash courses,Una página de un profesionista influyente en tu área,,,,Videos,Muy poco,Que alguien use tus fotos de manera inapropiada,Spam,,,,,61,Instagram,,,,,4 a 6,62,95,,,,56,,,Casi nunca,102,Más de 2 años,101,102,,,,,,,Los considero importantes
2/12/2021 19:28:35,21-24,Femenino,Ciencias Sociales,No es importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,3-4 horas,38,Chegg,,,,E-mail,56,Más de 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,,,Videos,Muy poco,Intimidación o acoso por parte de amigos o conocidos,Spam,,,,,62,,,,,,,,,,,,56,,,Nunca,101,Más de 2 años,101,102,,,,,,,Los considero importantes
2/12/2021 19:39:12,21-24,Masculino,11,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Instagram,Twitter,TikTok,,,,Netflix,,,,,,,Menos de 1 hora,Xbox,Coursera,25,,,Redes sociales,56,Entre 1 y 2 horas,61,Tutoriales o crash courses,Una página de un profesionista influyente en tu área,,,,Descarga de documentos,Algo,20,No aplica,,,,,61,31,,,,,1 a 3,62,95,,,,55,56,55,Nunca,102,1 a 2 años,101,101,VF2 (autentificación de dos pasos),Checar que la conexión sea segura antes de hacer pagos en línea,,,,,Conozco los peligros pero no me afectan
2/12/2021 19:41:29,21-24,Masculino,Ingeniería,Importante,Proteger información personal en linea,Redes Sociales,Videojuegos,Plataformas educativas,,,Instagram,Twitter,31,,,,Netflix,Disney +,25,,,,,1-2 horas,PC,38,,,,Navegación web,56,Entre 1 y 2 horas,62,,,,,,,Algo,20,No aplica,,,,,61,Instagram,31,,,,1 a 3,62,95,,,,55,56,55,Casi nunca,101,1 a 6 meses,102,101,Cambio constante de contraseñas,Checar que la conexión sea segura antes de hacer pagos en línea,,,,,Los considero importantes
2/12/2021 19:47:22,17-20,Masculino,11,Poco importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,Más de 4 horas,38,Khan Academy,,,,Navegación web,56,Más de 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,,,,Colaboración de proyectos,Regular,Avances sexuales no deseados por redes sociales,Ciber bullying,Robo de identidad,Spam,Phishing,,61,Facebook,,,,,1 a 3,62,Negocio pirámide (Pyramid scheme),,,,56,,,Casi siempre,102,1 a 6 meses,102,102,,,,,,,Me son indiferentes
2/12/2021 19:59:20,21-24,Femenino,Ciencia,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Disney +,,,,,,Menos de 1 hora,38,25,,,,Redes sociales,56,Entre 3 y 4 horas,61,Tutoriales o crash courses,,,,,Descarga de documentos,Regular,20,Spam,,,,,61,Instagram,Twitter,TikTok,,,4 a 6,62,95,,,,56,,,Casi nunca,102,Más de 2 años,101,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,Los considero importantes
2/12/2021 20:00:07,21-24,Masculino,Humanidades,Importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Snapchat,,,,Netflix,Amazon Prime,HBO Max,Disney +,25,,,3-4 horas,25,Khan Academy,,,,Redes sociales,56,Más de 4 horas,62,,,,,,,Regular,20,Ciber bullying,Spam,,,,61,Facebook,Instagram,,,,11 o más,61,95,,,,55,56,55,Nunca,101,Más de 2 años,102,102,,,,,,,Me son indiferentes
2/12/2021 20:07:12,17-20,Masculino,Ciencia,Importante,Proteger información personal en linea,Redes Sociales,Videojuegos,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,HBO Max,25,,,,,Menos de 1 hora,Xbox,Khan Academy,Coursera,,,E-mail,55,Entre 3 y 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,,,,Descarga de documentos,Regular,Que alguien use tus fotos de manera inapropiada,Robo de identidad,Spoofing,,,,61,Facebook,,,,,6 a 10,62,Negocio pirámide (Pyramid scheme),,,,55,56,56,Casi nunca,102,Más de 2 años,102,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Tapar tu cámara cuando no la estés usando,,,,Los considero importantes
2/12/2021 20:16:38,21-24,Masculino,Ingeniería,Importante,Proteger información personal en linea,Redes Sociales,Videojuegos,Plataformas educativas,25,,Facebook,Instagram,,,,,Netflix,Disney +,,,,,,Menos de 1 hora,Xbox,25,,,,Redes sociales,56,Entre 1 y 2 horas,61,Tutoriales o crash courses,Revistas científicas o similares,25,,,Descarga de documentos,Regular,Intimidación o acoso por parte de amigos o conocidos,Ciber bullying,Spam,Phishing,Spoofing,,61,Facebook,,,,,4 a 6,62,95,,,,55,56,55,Casi nunca,102,7 a 12 meses,101,101,Cambio constante de contraseñas,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,Los considero importantes
2/12/2021 20:17:11,21-24,Masculino,Ingeniería,Muy importante,Proteger información personal en linea,Redes Sociales,Videojuegos,,,,31,,,,,,Netflix,,,,,,,Menos de 1 hora,Xbox,Khan Academy,,,,Aplicaciones,56,Entre 1 y 2 horas,61,Tutoriales o crash courses,,,,,Colaboración de proyectos,Nada,Avances sexuales no deseados por redes sociales,Robo de identidad,Spam,,,,61,Facebook,Instagram,,,,4 a 6,62,95,,,,56,,,Casi nunca,102,Más de 2 años,102,102,,,,,,,Los considero importantes
2/12/2021 20:39:59,21-24,Masculino,Ciencia,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,Xbox,38,,,,Redes sociales,56,Entre 1 y 2 horas,62,,,,,,,Regular,Avances sexuales no deseados por redes sociales,Spam,,,,,61,Facebook,,,,,1 a 3,62,95,,,,55,56,55,Siempre,102,7 a 12 meses,101,101,Cambio constante de contraseñas,VF2 (autentificación de dos pasos),Checar que la conexión sea segura antes de hacer pagos en línea,,,,Los considero importantes
2/12/2021 21:11:52,21-24,Masculino,Ingeniería,Importante,Proteger información personal en linea,25,,,,,31,,,,,,Netflix,,,,,,,Menos de 1 hora,38,25,,,,Navegación web,56,Menos de 1 hora,61,Revistas científicas o similares,,,,,Comunicación entre profesores y estudiantes,Muy poco,Que alguien use tus fotos de manera inapropiada,Spam,,,,,62,,,,,,,,,,,,55,56,55,Casi nunca,101,Más de 2 años,101,101,Leer los avisos de privacidad,Checar que la conexión sea segura antes de hacer pagos en línea,,,,,Los considero importantes
3/12/2021 19:30:35,21-24,Masculino,Ciencia,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,Play Station,Coursera,,,,Navegación web,56,Entre 1 y 2 horas,61,Una página de un profesionista influyente en tu área,,,,,Colaboración de proyectos,Regular,Que alguien use tus fotos de manera inapropiada,No aplica,,,,,62,,,,,,,,,,,,55,56,55,A veces,101,Más de 2 años,102,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,,Los considero importantes
3/12/2021 19:39:43,25 +,Masculino,Ciencias Sociales,Poco importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Streaming,,,,Instagram,,,,,,Netflix,25,,,,,,1-2 horas,38,38,,,,Navegación web,56,Entre 1 y 2 horas,62,,,,,,,Muy poco,20,Spam,,,,,61,Instagram,,,,,1 a 3,62,95,,,,55,56,55,Casi nunca,102,1 a 2 años,102,102,,,,,,,Conozco los peligros pero no me afectan
3/12/2021 19:40:13,21-24,Masculino,Ciencia,Muy importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,HBO Max,,,,,Menos de 1 hora,38,Coursera,,,,Navegación web,55,Entre 3 y 4 horas,61,Tutoriales o crash courses,,,,,Videos,Algo,20,Robo de identidad,Spam,,,,62,,,,,,,,,,,,56,,,Nunca,102,1 a 2 años,102,101,Checar que la conexión sea segura antes de hacer pagos en línea,,,,,,Los considero importantes
3/12/2021 20:04:16,17-20,Femenino,Ciencias Sociales,Poco importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,TikTok,,,,Netflix,HBO Max,Disney +,,,,,3-4 horas,38,Coursera,,,,Navegación web,56,Entre 1 y 2 horas,61,25,,,,,Descarga de documentos,Muy poco,Intimidación o acoso por parte de amigos o conocidos,Spam,,,,,61,Facebook,,,,,11 o más,62,95,,,,55,56,56,Nunca,101,Más de 2 años,101,102,,,,,,,Conozco los peligros pero no me afectan
3/12/2021 20:08:58,21-24,Femenino,Ingeniería,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,,,,,,1-2 horas,38,Khan Academy,Coursera,Chegg,25,Redes sociales,55,Entre 1 y 2 horas,61,Tutoriales o crash courses,,,,,Colaboración de proyectos,Algo,Avances sexuales no deseados por redes sociales,Ciber acoso,Spam,Phishing,Spoofing,,61,Facebook,Instagram,Twitter,,,11 o más,62,Negocio pirámide (Pyramid scheme),Fraude,,,56,,,Casi nunca,101,Más de 2 años,102,101,Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,,Los considero importantes
3/12/2021 20:16:56,21-24,Masculino,Ingeniería,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,25,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,38,Coursera,25,,,Navegación web,56,Entre 3 y 4 horas,62,,,,,,,Algo,Que alguien use tus fotos de manera inapropiada,Spam,Phishing,Spoofing,,,61,Facebook,,,,,1 a 3,62,95,,,,55,56,55,A veces,102,1 a 2 años,101,101,Cambio constante de contraseñas,VF2 (autentificación de dos pasos),Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,Conozco los peligros pero no me afectan
3/12/2021 20:18:54,17-20,Femenino,Ciencias Sociales,Muy importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,Xbox,Khan Academy,Coursera,,,Redes sociales,56,Entre 1 y 2 horas,61,Noticieros/periódicos,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,,Colaboración de proyectos,Muy poco,Que alguien use tus fotos de manera inapropiada,Ciber acoso,Spam,Spoofing,,,62,,,,,,,,,,,,55,56,55,A veces,102,7 a 12 meses,101,102,,,,,,,Nunca me siento seguro y me preocupan mucho los peligros
3/12/2021 20:20:06,21-24,Masculino,Ciencia,Importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Videojuegos,Plataformas educativas,25,,Instagram,TikTok,31,,,,Netflix,,,,,,,1-2 horas,Xbox,25,,,,E-mail,56,Entre 1 y 2 horas,61,Tutoriales o crash courses,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,,Videos,Muy poco,Intimidación o acoso por parte de amigos o conocidos,Ciber acoso,Spam,Phishing,,,61,31,,,,,6 a 10,61,95,,,,55,56,55,Siempre,102,1 a 2 años,101,101,VF2 (autentificación de dos pasos),Leer los avisos de privacidad,Tengo antivirus descargado en mi dispositivo,,,,Conozco los peligros pero no me afectan
3/12/2021 20:47:48,21-24,Masculino,Ingeniería,Importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,HBO Max,,,,,,1-2 horas,Xbox,25,,,,Navegación web,55,Entre 3 y 4 horas,61,Tutoriales o crash courses,,,,,Colaboración de proyectos,Muy poco,20,Spam,Spoofing,,,,61,Instagram,,,,,1 a 3,62,95,,,,55,56,56,Casi nunca,102,Más de 2 años,101,102,,,,,,,Los considero importantes
3/12/2021 21:08:09,17-20,Femenino,Ciencia,Importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,,,,,,3-4 horas,38,Coursera,,,,Redes sociales,56,Más de 4 horas,61,Tutoriales o crash courses,,,,,Videos,Regular,Intimidación o acoso por parte de amigos o conocidos,Spam,,,,,61,Facebook,Instagram,,,,11 o más,62,95,,,,56,,,Casi nunca,101,Más de 2 años,101,102,,,,,,,Los considero importantes
3/12/2021 21:37:14,17-20,Femenino,Ciencia,Muy importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,,,,,,,1-2 horas,38,25,,,,Redes sociales,56,Entre 3 y 4 horas,61,Tutoriales o crash courses,,,,,Comunicación entre profesores y estudiantes,Muy poco,20,No aplica,,,,,61,Facebook,Instagram,,,,11 o más,62,Otra,,,,56,,,Casi nunca,101,Más de 2 años,102,101,Leer los avisos de privacidad,Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,Los considero importantes
4/12/2021 0:40:18,17-20,Femenino,11,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Twitter,TikTok,,,,,Netflix,Amazon Prime,,,,,,1-2 horas,38,25,,,,Navegación web,56,Más de 4 horas,62,,,,,,,Regular,Avances sexuales no deseados por redes sociales,Spam,,,,,62,,,,,,,,,,,,56,,,Nunca,101,1 a 2 años,101,101,Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,,Los considero importantes
4/12/2021 10:01:37,17-20,Femenino,Ciencias Sociales,Importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,31,,Netflix,Amazon Prime,HBO Max,,,,,3-4 horas,38,25,,,,Redes sociales,56,Más de 4 horas,61,Noticieros/periódicos,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,,Comunicación entre profesores y estudiantes,Regular,Que alguien use tus fotos de manera inapropiada,Spam,,,,,61,Instagram,,,,,1 a 3,62,95,,,,55,56,55,Nunca,102,7 a 12 meses,101,102,,,,,,,Los considero importantes
4/12/2021 11:47:44,17-20,Femenino,11,Importante,Proteger información personal en linea,Redes Sociales,,,,,Instagram,TikTok,,,,,Netflix,Disney +,,,,,,1-2 horas,38,38,,,,Redes sociales,56,Entre 1 y 2 horas,61,Revistas científicas o similares,,,,,Descarga de documentos,Muy poco,Que alguien use tus fotos de manera inapropiada,Spam,No aplica,,,,61,Facebook,Instagram,,,,11 o más,62,95,,,,56,,,Nunca,101,Más de 2 años,101,102,,,,,,,Conozco los peligros pero no me afectan
5/12/2021 16:37:59,17-20,Femenino,Ingeniería,Importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,Disney +,25,,,,Menos de 1 hora,38,Chegg,25,,,E-mail,56,Entre 3 y 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,Una página de un profesionista influyente en tu área,25,Colaboración de proyectos,Muy poco,Que alguien use tus fotos de manera inapropiada,Robo de identidad,Phishing,Spoofing,,,61,Facebook,Instagram,Twitter,,,6 a 10,61,95,,,,55,56,56,Casi nunca,101,Más de 2 años,101,102,,,,,,,Conozco los peligros pero no me afectan